"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"CHECK_PRICES";"DESCRIPTION";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"PRICE";"SNAPEDA_LINK";"SPICEPREFIX";
"R14";"22.6k";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"17";"";"";"R";
"R15";"10k";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"17";"";"";"R";
"R16";"22.6k";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"17";"";"";"R";
"R17";"1M";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"17";"";"";"R";
"R18";"1M";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"17";"";"";"R";
"R19";"1M";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"17";"";"";"R";
"R20";"1M";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"17";"";"";"R";
"R21";"20k";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"17";"";"";"R";
"R22";"22.6k";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"17";"";"";"R";
"R23";"10k";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"17";"";"";"R";
"R24";"22.6k";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"17";"";"";"R";
"R25";"10k";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"17";"";"";"R";
"U1";"AMC1311BDWVR";"AMC1311BDWVR";"SOIC127P1150X280-8N";"Check availability";"In Stock";"https://www.snapeda.com/parts/AMC1311BDWVR/Texas+Instruments/view-part/?ref=eda";"                                                      2-V input, precision voltage sensing reinforced isolated amplifier                                              ";"Texas Instruments";"AMC1311BDWVR";"";"";"";"SOIC-8 Texas Instruments";"";"None";"https://www.snapeda.com/parts/AMC1311BDWVR/Texas+Instruments/view-part/?ref=snap";"";
"U2";"AMC1311BDWVR";"AMC1311BDWVR";"SOIC127P1150X280-8N";"Check availability";"In Stock";"https://www.snapeda.com/parts/AMC1311BDWVR/Texas+Instruments/view-part/?ref=eda";"                                                      2-V input, precision voltage sensing reinforced isolated amplifier                                              ";"Texas Instruments";"AMC1311BDWVR";"";"";"";"SOIC-8 Texas Instruments";"";"None";"https://www.snapeda.com/parts/AMC1311BDWVR/Texas+Instruments/view-part/?ref=snap";"";
